City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Funtua,NG,11.5233,7.3081,66.0,25,87,8.46,overcast clouds
253,Christchurch,NZ,-43.5333,172.6333,54.03,86,90,10.36,light rain
254,Pangnirtung,CA,66.1451,-65.7125,4.64,98,100,6.69,light snow
255,Malanje,AO,-9.5402,16.341,63.3,95,99,2.93,overcast clouds
256,Kirakira,SB,-10.4544,161.9205,80.13,89,95,16.24,overcast clouds
257,Mount Isa,AU,-20.7333,139.5,82.17,51,89,14.97,overcast clouds
258,Waihi Beach,NZ,-37.4,175.9333,77.11,90,87,15.01,overcast clouds
259,Saldanha,ZA,-33.0117,17.9442,60.85,90,100,16.46,overcast clouds
260,Hobart,AU,-42.8794,147.3294,69.26,57,40,4.0,scattered clouds
261,Rocky Mountain House,CA,52.3668,-114.9188,1.83,84,79,1.14,broken clouds
262,San Cristobal,VE,7.7669,-72.225,75.38,82,100,1.79,overcast clouds
263,Dauriya,RU,49.9333,116.8667,9.09,90,10,6.46,clear sky
264,Manokwari,ID,-0.8667,134.0833,84.11,71,86,3.18,overcast clouds
265,Chokurdakh,RU,70.6333,147.9167,-42.57,99,53,6.06,broken clouds
266,Vostochnyy,RU,55.8167,37.8667,27.7,97,100,2.71,overcast clouds
267,College,US,64.8569,-147.8028,11.28,79,90,0.0,overcast clouds
268,Manzanillo,CU,20.3433,-77.1167,78.37,74,100,2.35,overcast clouds
269,Yar-Sale,RU,66.8333,70.8333,-13.54,90,93,15.01,overcast clouds
270,Coquimbo,CL,-29.9533,-71.3436,58.73,82,20,6.91,few clouds
271,Asfi,MA,32.2994,-9.2372,56.8,82,0,18.9,clear sky
272,Port Blair,IN,11.6667,92.75,79.18,69,56,10.87,broken clouds
273,Muroto,JP,33.2833,134.15,50.04,59,100,4.41,overcast clouds
274,Aswan,EG,24.0934,32.907,58.3,44,0,9.22,clear sky
275,Fuyang,CN,32.9,115.8167,49.95,34,0,5.48,clear sky
276,Garowe,SO,8.4054,48.4845,66.61,74,5,8.79,clear sky
277,Veraval,IN,20.9,70.3667,71.96,61,0,11.3,clear sky
278,Kamenka,RU,51.3223,42.7678,27.07,66,100,6.55,overcast clouds
279,Atliaca,MX,17.65,-99.3667,68.43,60,60,1.07,broken clouds
280,Sheboygan,US,43.7333,-87.9334,36.48,94,90,1.99,light rain
281,Hudiksvall,SE,61.729,17.1036,9.36,90,100,5.93,overcast clouds
282,Richards Bay,ZA,-28.783,32.0377,77.23,70,100,14.14,overcast clouds
283,Najran,SA,17.4924,44.1277,52.45,41,0,1.63,clear sky
284,Bogorodskoye,RU,56.55,37.8833,19.09,95,100,6.24,light snow
285,Mednogorsk,RU,51.4128,57.595,25.38,91,100,4.12,overcast clouds
286,Valdivia,CL,-39.8142,-73.2459,73.49,45,0,7.49,clear sky
287,Mastic Beach,US,40.7668,-72.8521,46.98,65,86,1.99,overcast clouds
288,Maumere,ID,-8.6199,122.2111,83.28,71,100,4.54,overcast clouds
289,Tocopilla,CL,-22.092,-70.1979,66.15,67,68,2.51,broken clouds
290,Pokhara,NP,28.2333,83.9833,58.44,44,0,6.44,clear sky
291,Loukhi,RU,66.0764,33.0381,2.1,92,13,5.28,few clouds
292,Moindou,NC,-21.6924,165.677,87.75,57,42,3.24,scattered clouds
293,Vanimo,PG,-2.6741,141.3028,87.76,64,18,4.65,few clouds
294,Venado Tuerto,AR,-33.7456,-61.9688,64.76,72,0,4.68,clear sky
295,Hofn,IS,64.2539,-15.2082,41.94,97,100,28.92,light rain
296,Faya,SA,18.3851,42.4509,53.71,69,0,1.68,clear sky
297,Talara,PE,-4.5772,-81.2719,66.43,88,100,16.02,overcast clouds
298,Biak,ID,-0.9131,122.8766,80.94,77,100,1.7,light rain
299,Bischofswerda,DE,51.1277,14.1797,35.15,95,100,4.65,light rain
300,Abu Samrah,SY,35.3029,37.1841,49.55,54,0,3.06,clear sky
301,Harper,LR,4.375,-7.7169,79.75,82,39,6.89,light rain
302,Atambua,ID,-9.1061,124.8925,81.16,75,99,4.59,overcast clouds
303,Concordia,AR,-31.393,-58.0209,72.79,55,4,10.6,clear sky
304,Leshukonskoye,RU,64.8989,45.7622,4.64,88,19,5.59,few clouds
305,Atar,MR,20.5169,-13.0499,67.41,14,100,7.76,overcast clouds
306,Nyagan,RU,62.1406,65.3936,-14.96,100,95,2.04,overcast clouds
307,Pisco,PE,-13.7,-76.2167,67.01,88,75,16.11,broken clouds
308,Leningradskiy,RU,69.3833,178.4167,-2.27,98,100,19.13,light snow
309,Saint Anthony,US,45.0205,-93.218,35.55,66,90,8.01,overcast clouds
310,Praia Da Vitoria,PT,38.7333,-27.0667,59.76,94,40,4.85,scattered clouds
311,Vikhorevka,RU,56.1201,101.1636,26.19,89,99,11.03,overcast clouds
312,Verkhnyaya Toyma,RU,62.2349,44.9985,4.98,97,27,3.69,scattered clouds
313,Mosquera,CO,4.7059,-74.2302,57.29,67,20,5.75,few clouds
314,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,63,75,15.01,broken clouds
315,Launceston,AU,-41.45,147.1667,66.61,66,90,7.0,overcast clouds
316,Te Anau,NZ,-45.4167,167.7167,51.51,65,99,5.68,overcast clouds
317,Afonso Bezerra,BR,-5.4983,-36.5056,79.56,72,37,18.34,scattered clouds
318,Harnai,PK,30.1005,67.9374,50.81,22,0,5.21,clear sky
319,Ereymentau,KZ,51.6199,73.1033,26.15,91,100,10.83,overcast clouds
320,Saint-Augustin,CA,51.226,-58.6502,20.73,67,10,9.4,clear sky
321,Kochi,IN,9.9399,76.2602,76.98,88,95,5.03,overcast clouds
322,Whitehorse,CA,60.7161,-135.0538,-8.63,76,20,13.0,few clouds
323,Katherine,AU,-14.4667,132.2667,84.52,65,40,8.05,scattered clouds
324,Sernur,RU,56.9333,49.1536,7.36,82,8,6.24,clear sky
325,Daura,NG,11.5538,11.4085,70.63,18,5,9.31,clear sky
326,Aklavik,CA,68.2191,-135.0107,-4.97,89,18,9.19,few clouds
327,Faanui,PF,-16.4833,-151.75,81.34,67,6,13.82,clear sky
328,Airai,TL,-8.9266,125.4092,71.42,71,97,1.7,overcast clouds
329,Namibe,AO,-15.1961,12.1522,71.71,64,12,3.96,few clouds
330,Ulety,RU,51.3572,112.4849,17.49,81,99,5.7,overcast clouds
331,Hambantota,LK,6.1241,81.1185,73.74,100,40,2.3,scattered clouds
332,Mayo,US,38.8876,-76.5119,51.13,72,90,0.0,overcast clouds
333,Pasaje,EC,-3.3333,-79.8167,73.47,86,100,2.28,overcast clouds
334,Marsh Harbour,BS,26.5412,-77.0636,77.25,75,22,15.59,few clouds
335,Conceicao Das Alagoas,BR,-19.9147,-48.3883,73.18,83,99,4.03,overcast clouds
336,Methoni,GR,36.8197,21.7049,59.22,65,86,18.81,overcast clouds
337,Yichang,CN,30.7144,111.2847,54.75,54,0,1.66,clear sky
338,Okhotsk,RU,59.3833,143.3,-8.48,88,18,13.0,few clouds
339,Broome,US,42.2506,-75.833,42.82,55,90,4.0,overcast clouds
340,Colares,PT,38.7992,-9.4469,56.34,67,5,1.01,clear sky
341,Awbari,LY,26.5921,12.7805,49.21,27,0,7.18,clear sky
342,Minot,US,48.2325,-101.2963,18.59,79,90,26.46,light snow
343,Bentong,MY,3.5181,101.9079,77.45,92,100,1.77,overcast clouds
